"Date","Open","High","Low","Close","Volume","Adj Close","Pt / Pt-1","Log Pt / Pt-1"
07/14/58 12:00 AM,45.14,45.14,45.14,45.14,2540000,45.14,0.9873141,-0.0055447
07/11/58 12:00 AM,45.72,45.72,45.72,45.72,2400000,45.72,1.0066050,0.0028591
07/10/58 12:00 AM,45.42,45.42,45.42,45.42,2510000,45.42,1.0037569,0.0016285
07/09/58 12:00 AM,45.25,45.25,45.25,45.25,2630000,45.25,0.9966960,-0.0014373
07/08/58 12:00 AM,45.4,45.4,45.4,45.4,2430000,45.4,0.9951776,-0.0020994
07/07/58 12:00 AM,45.62,45.62,45.62,45.62,2510000,45.62,1.0032989,0.0014303
07/03/58 12:00 AM,45.47,45.47,45.47,45.47,2630000,45.47,1.0033098,0.0014351
07/02/58 12:00 AM,45.32,45.32,45.32,45.32,2370000,45.32,1.0008834,0.0003835
07/01/58 12:00 AM,45.28,45.28,45.28,45.28,2600000,45.28,1.0008842,0.0003838
06/30/58 12:00 AM,45.24,45.24,45.24,45.24,2820000,45.24,1.0075724,0.0032763
06/27/58 12:00 AM,44.9,44.9,44.9,44.9,2800000,44.9,1.0013381,0.0005807
06/26/58 12:00 AM,44.84,44.84,44.84,44.84,2910000,44.84,1.0047054,0.0020387
06/25/58 12:00 AM,44.63,44.63,44.63,44.63,2720000,44.63,1.0024708,0.0010717
06/24/58 12:00 AM,44.52,44.52,44.52,44.52,2560000,44.52,0.9961960,-0.0016552
06/23/58 12:00 AM,44.69,44.69,44.69,44.69,2340000,44.69,0.9964326,-0.0015521
06/20/58 12:00 AM,44.85,44.85,44.85,44.85,2590000,44.85,1.0053800,0.0023302
06/19/58 12:00 AM,44.61,44.61,44.61,44.61,2690000,44.61,0.9838994,-0.0070493
06/18/58 12:00 AM,45.34,45.34,45.34,45.34,2640000,45.34,1.0089008,0.0038484
06/17/58 12:00 AM,44.94,44.94,44.94,44.94,2950000,44.94,0.9946879,-0.0023132
06/16/58 12:00 AM,45.18,45.18,45.18,45.18,2870000,45.18,1.0035540,0.0015407
06/13/58 12:00 AM,45.02,45.02,45.02,45.02,3100000,45.02,1.0060335,0.0026125
06/12/58 12:00 AM,44.75,44.75,44.75,44.75,2760000,44.75,1.0058440,0.0025306
06/11/58 12:00 AM,44.49,44.49,44.49,44.49,2570000,44.49,1.0002248,0.0000976
06/10/58 12:00 AM,44.48,44.48,44.48,44.48,2390000,44.48,0.9979807,-0.0008779
06/09/58 12:00 AM,44.57,44.57,44.57,44.57,2380000,44.57,0.9984319,-0.0006816
06/06/58 12:00 AM,44.64,44.64,44.64,44.64,2680000,44.64,1.0020202,0.0008765
06/05/58 12:00 AM,44.55,44.55,44.55,44.55,2600000,44.55,1.0011236,0.0004877
06/04/58 12:00 AM,44.5,44.5,44.5,44.5,2690000,44.5,1.0008997,0.0003906
06/03/58 12:00 AM,44.46,44.46,44.46,44.46,2780000,44.46,1.0033852,0.0014677
06/02/58 12:00 AM,44.31,44.31,44.31,44.31,2770000,44.31,1.0049898,0.0021617
05/29/58 12:00 AM,44.09,44.09,44.09,44.09,2350000,44.09,1.0054732,0.0023705
05/28/58 12:00 AM,43.85,43.85,43.85,43.85,2260000,43.85,1.0013702,0.0005947
05/27/58 12:00 AM,43.79,43.79,43.79,43.79,2180000,43.79,0.9986317,-0.0005947
05/26/58 12:00 AM,43.85,43.85,43.85,43.85,2500000,43.85,0.9995441,-0.0001980
05/23/58 12:00 AM,43.87,43.87,43.87,43.87,2570000,43.87,1.0020557,0.0008919
05/22/58 12:00 AM,43.78,43.78,43.78,43.78,2950000,43.78,1.0052813,0.0022876
05/21/58 12:00 AM,43.55,43.55,43.55,43.55,2580000,43.55,0.9986242,-0.0005979
05/20/58 12:00 AM,43.61,43.61,43.61,43.61,2500000,43.61,1.0085569,0.0037004
05/19/58 12:00 AM,43.24,43.24,43.24,43.24,1910000,43.24,0.9972325,-0.0012036
05/16/58 12:00 AM,43.36,43.36,43.36,43.36,2030000,43.36,1.0004615,0.0002004
05/15/58 12:00 AM,43.34,43.34,43.34,43.34,2470000,43.34,1.0051020,0.0022102
05/14/58 12:00 AM,43.12,43.12,43.12,43.12,3060000,43.12,0.9885374,-0.0050069
05/13/58 12:00 AM,43.62,43.62,43.62,43.62,2940000,43.62,0.9970286,-0.0012924
05/12/58 12:00 AM,43.75,43.75,43.75,43.75,2780000,43.75,0.9922885,-0.0033620
05/09/58 12:00 AM,44.09,44.09,44.09,44.09,2760000,44.09,1.0022732,0.0009861
05/08/58 12:00 AM,43.99,43.99,43.99,43.99,2790000,43.99,1.0013658,0.0005928
05/07/58 12:00 AM,43.93,43.93,43.93,43.93,2770000,43.93,0.9981822,-0.0007902
05/06/58 12:00 AM,44.01,44.01,44.01,44.01,3110000,44.01,1.0050240,0.0021764
05/05/58 12:00 AM,43.79,43.79,43.79,43.79,2670000,43.79,1.0022889,0.0009929
05/02/58 12:00 AM,43.69,43.69,43.69,43.69,2290000,43.69,1.0034451,0.0014936
05/01/58 12:00 AM,43.54,43.54,43.54,43.54,2630000,43.54,1.0023020,0.0009986
04/30/58 12:00 AM,43.44,43.44,43.44,43.44,2900000,43.44,1.0102326,0.0044214
04/29/58 12:00 AM,43,43,43,43,2190000,43,0.9949098,-0.0022163
04/28/58 12:00 AM,43.22,43.22,43.22,43.22,2400000,43.22,0.9967712,-0.0014045
04/25/58 12:00 AM,43.36,43.36,43.36,43.36,3020000,43.36,1.0050997,0.0022091
04/24/58 12:00 AM,43.14,43.14,43.14,43.14,2870000,43.14,1.0079439,0.0034364
04/23/58 12:00 AM,42.8,42.8,42.8,42.8,2720000,42.8,1.0000000,0.0000000
04/22/58 12:00 AM,42.8,42.8,42.8,42.8,2440000,42.8,0.9969718,-0.0013171
04/21/58 12:00 AM,42.93,42.93,42.93,42.93,2550000,42.93,1.0051510,0.0022313
04/18/58 12:00 AM,42.71,42.71,42.71,42.71,2700000,42.71,1.0108876,0.0047029
04/17/58 12:00 AM,42.25,42.25,42.25,42.25,2500000,42.25,1.0035629,0.0015446
04/16/58 12:00 AM,42.1,42.1,42.1,42.1,2240000,42.1,0.9922225,-0.0033909
04/15/58 12:00 AM,42.43,42.43,42.43,42.43,2590000,42.43,1.0102381,0.0044237
04/14/58 12:00 AM,42,42,42,42,2180000,42,1.0062290,0.0026968
04/11/58 12:00 AM,41.74,41.74,41.74,41.74,2060000,41.74,1.0009592,0.0004164
04/10/58 12:00 AM,41.7,41.7,41.7,41.7,2000000,41.7,1.0012005,0.0005210
04/09/58 12:00 AM,41.65,41.65,41.65,41.65,2040000,41.65,1.0053102,0.0023001
04/08/58 12:00 AM,41.43,41.43,41.43,41.43,2190000,41.43,1.0024195,0.0010495
04/07/58 12:00 AM,41.33,41.33,41.33,41.33,2090000,41.33,0.9963838,-0.0015733
04/03/58 12:00 AM,41.48,41.48,41.48,41.48,2130000,41.48,0.9971154,-0.0012546
04/02/58 12:00 AM,41.6,41.6,41.6,41.6,2390000,41.6,0.9921297,-0.0034315
04/01/58 12:00 AM,41.93,41.93,41.93,41.93,2070000,41.93,0.9959620,-0.0017572
03/31/58 12:00 AM,42.1,42.1,42.1,42.1,2050000,42.1,0.9976303,-0.0010304
03/28/58 12:00 AM,42.2,42.2,42.2,42.2,1930000,42.2,1.0007114,0.0003088
03/27/58 12:00 AM,42.17,42.17,42.17,42.17,2140000,42.17,0.9969267,-0.0013368
03/26/58 12:00 AM,42.3,42.3,42.3,42.3,1990000,42.3,0.9967012,-0.0014350
03/25/58 12:00 AM,42.44,42.44,42.44,42.44,2210000,42.44,0.9967121,-0.0014303
03/24/58 12:00 AM,42.58,42.58,42.58,42.58,2580000,42.58,1.0037718,0.0016350
03/21/58 12:00 AM,42.42,42.42,42.42,42.42,2430000,42.42,1.0073617,0.0031854
03/20/58 12:00 AM,42.11,42.11,42.11,42.11,2280000,42.11,1.0004752,0.0002063
03/19/58 12:00 AM,42.09,42.09,42.09,42.09,2410000,42.09,1.0047744,0.0020686
03/18/58 12:00 AM,41.89,41.89,41.89,41.89,2070000,41.89,0.9964320,-0.0015523
03/17/58 12:00 AM,42.04,42.04,42.04,42.04,2130000,42.04,0.9931491,-0.0029856
03/14/58 12:00 AM,42.33,42.33,42.33,42.33,2150000,42.33,0.9969383,-0.0013317
03/13/58 12:00 AM,42.46,42.46,42.46,42.46,2830000,42.46,1.0011790,0.0005117
03/12/58 12:00 AM,42.41,42.41,42.41,42.41,2420000,42.41,0.9976476,-0.0010228
03/11/58 12:00 AM,42.51,42.51,42.51,42.51,2640000,42.51,1.0071073,0.0030758
03/10/58 12:00 AM,42.21,42.21,42.21,42.21,1980000,42.21,1.0033278,0.0014428
03/07/58 12:00 AM,42.07,42.07,42.07,42.07,2130000,42.07,1.0016667,0.0007232
03/06/58 12:00 AM,42,42,42,42,2470000,42,1.0127803,0.0055153
03/05/58 12:00 AM,41.47,41.47,41.47,41.47,2020000,41.47,1.0029021,0.0012585
03/04/58 12:00 AM,41.35,41.35,41.35,41.35,2010000,41.35,1.0053489,0.0023168
03/03/58 12:00 AM,41.13,41.13,41.13,41.13,1810000,41.13,1.0071009,0.0030730
02/28/58 12:00 AM,40.84,40.84,40.84,40.84,1580000,40.84,1.0039331,0.0017048
02/27/58 12:00 AM,40.68,40.68,40.68,40.68,1670000,40.68,0.9941349,-0.0025547
02/26/58 12:00 AM,40.92,40.92,40.92,40.92,1880000,40.92,1.0076336,0.0033026
02/25/58 12:00 AM,40.61,40.61,40.61,40.61,1920000,40.61,0.9990160,-0.0004276
02/24/58 12:00 AM,40.65,40.65,40.65,40.65,1570000,40.65,0.9943738,-0.0024503
02/21/58 12:00 AM,40.88,40.88,40.88,40.88,1700000,40.88,0.9992667,-0.0003186
02/20/58 12:00 AM,40.91,40.91,40.91,40.91,2060000,40.91,0.9941677,-0.0025404
02/19/58 12:00 AM,41.15,41.15,41.15,41.15,2070000,41.15,0.9995142,-0.0002110
02/18/58 12:00 AM,41.17,41.17,41.17,41.17,1680000,41.17,1.0014595,0.0006334
02/17/58 12:00 AM,41.11,41.11,41.11,41.11,1700000,41.11,0.9946770,-0.0023179
02/14/58 12:00 AM,41.33,41.33,41.33,41.33,2070000,41.33,1.0095261,0.0041176
02/13/58 12:00 AM,40.94,40.94,40.94,40.94,1880000,40.94,1.0002443,0.0001061
02/12/58 12:00 AM,40.93,40.93,40.93,40.93,2030000,40.93,0.9956215,-0.0019057
02/11/58 12:00 AM,41.11,41.11,41.11,41.11,2110000,41.11,0.9910800,-0.0038913
02/10/58 12:00 AM,41.48,41.48,41.48,41.48,1900000,41.48,0.9940091,-0.0026096
02/07/58 12:00 AM,41.73,41.73,41.73,41.73,2220000,41.73,0.9912114,-0.0038337
02/06/58 12:00 AM,42.1,42.1,42.1,42.1,2210000,42.1,0.9978668,-0.0009274
02/05/58 12:00 AM,42.19,42.19,42.19,42.19,2480000,42.19,0.9936411,-0.0027705
02/04/58 12:00 AM,42.46,42.46,42.46,42.46,2970000,42.46,1.0099905,0.0043173
02/03/58 12:00 AM,42.04,42.04,42.04,42.04,2490000,42.04,1.0081535,0.0035267
01/31/58 12:00 AM,41.7,41.7,41.7,41.7,2030000,41.7,1.0004798,0.0002083
01/30/58 12:00 AM,41.68,41.68,41.68,41.68,2150000,41.68,0.9952245,-0.0020790
01/29/58 12:00 AM,41.88,41.88,41.88,41.88,2220000,41.88,1.0060053,0.0026003
01/28/58 12:00 AM,41.63,41.63,41.63,41.63,2030000,41.63,1.0009618,0.0004175
01/27/58 12:00 AM,41.59,41.59,41.59,41.59,2320000,41.59,0.9971230,-0.0012513
01/24/58 12:00 AM,41.71,41.71,41.71,41.71,2830000,41.71,1.0084623,0.0036597
01/23/58 12:00 AM,41.36,41.36,41.36,41.36,1910000,41.36,1.0038835,0.0016833
01/22/58 12:00 AM,41.2,41.2,41.2,41.2,2390000,41.2,0.9975787,-0.0010528
01/21/58 12:00 AM,41.3,41.3,41.3,41.3,2160000,41.3,0.9987908,-0.0005255
01/20/58 12:00 AM,41.35,41.35,41.35,41.35,2310000,41.35,1.0060827,0.0026337
01/17/58 12:00 AM,41.1,41.1,41.1,41.1,2200000,41.1,1.0009742,0.0004229
01/16/58 12:00 AM,41.06,41.06,41.06,41.06,3950000,41.06,1.0017077,0.0007410
01/15/58 12:00 AM,40.99,40.99,40.99,40.99,2080000,40.99,1.0078682,0.0034037
01/14/58 12:00 AM,40.67,40.67,40.67,40.67,2010000,40.67,1.0044455,0.0019264
01/13/58 12:00 AM,40.49,40.49,40.49,40.49,1860000,40.49,1.0029725,0.0012890
01/10/58 12:00 AM,40.37,40.37,40.37,40.37,2010000,40.37,0.9906748,-0.0040689
01/09/58 12:00 AM,40.75,40.75,40.75,40.75,2180000,40.75,0.9941449,-0.0025503
01/08/58 12:00 AM,40.99,40.99,40.99,40.99,2230000,40.99,0.9997561,-0.0001059
01/07/58 12:00 AM,41,41,41,41,2220000,41,1.0078663,0.0034029
01/06/58 12:00 AM,40.68,40.68,40.68,40.68,2500000,40.68,0.9953511,-0.0020237
01/03/58 12:00 AM,40.87,40.87,40.87,40.87,2440000,40.87,1.0133895,0.0057764
01/02/58 12:00 AM,40.33,40.33,40.33,40.33,1800000,40.33,1.0085021,0.0036768
12/31/57 12:00 AM,39.99,39.99,39.99,39.99,5070000,39.99,1.0103588,0.0044756
12/30/57 12:00 AM,39.58,39.58,39.58,39.58,3750000,39.58,0.9949723,-0.0021890
12/27/57 12:00 AM,39.78,39.78,39.78,39.78,2620000,39.78,0.9964930,-0.0015258
12/26/57 12:00 AM,39.92,39.92,39.92,39.92,2280000,39.92,1.0101215,0.0043736
12/24/57 12:00 AM,39.52,39.52,39.52,39.52,2220000,39.52,1.0010132,0.0004398
12/23/57 12:00 AM,39.48,39.48,39.48,39.48,2790000,39.48,1.0000000,0.0000000
12/20/57 12:00 AM,39.48,39.48,39.48,39.48,2500000,39.48,0.9919598,-0.0035059
12/19/57 12:00 AM,39.8,39.8,39.8,39.8,2740000,39.8,1.0106653,0.0046074
12/18/57 12:00 AM,39.38,39.38,39.38,39.38,2750000,39.38,0.9989853,-0.0004409
12/17/57 12:00 AM,39.42,39.42,39.42,39.42,2820000,39.42,0.9825523,-0.0076443
12/16/57 12:00 AM,40.12,40.12,40.12,40.12,2350000,40.12,0.9850233,-0.0065535
12/13/57 12:00 AM,40.73,40.73,40.73,40.73,2310000,40.73,1.0044390,0.0019236
12/12/57 12:00 AM,40.55,40.55,40.55,40.55,2330000,40.55,1.0009874,0.0004286
12/11/57 12:00 AM,40.51,40.51,40.51,40.51,2240000,40.51,0.9987673,-0.0005357
12/10/57 12:00 AM,40.56,40.56,40.56,40.56,2360000,40.56,0.9912023,-0.0038377
12/09/57 12:00 AM,40.92,40.92,40.92,40.92,2230000,40.92,0.9905592,-0.0041196
12/06/57 12:00 AM,41.31,41.31,41.31,41.31,2350000,41.31,0.9949422,-0.0022021
12/05/57 12:00 AM,41.52,41.52,41.52,41.52,2020000,41.52,0.9995185,-0.0002091
12/04/57 12:00 AM,41.54,41.54,41.54,41.54,2220000,41.54,1.0041093,0.0017810
12/03/57 12:00 AM,41.37,41.37,41.37,41.37,2060000,41.37,1.0002418,0.0001050
